"description","neighborhood_overview","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","amenities","price","minimum_nights","maximum_nights","has_availability","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","reviews_per_month"
"The amazing town home is in the heart of downtown within walking distance to all major attractions! You are steps away from some of the best restaurants, bars, and nightlife ottawa has to offer.","Centretown is exactly what it seems, it's in the centre of everything!","N/A","N/A","50%","f","Downtown",0,0,"t","f","Somerset",NA,45.41746,-75.70393,"Entire apartment","Entire home/apt",7,NA,3,4,"[""Gym"", ""Hair dryer"", ""Wifi"", ""Hot tub"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Pool"", ""Shampoo""]","$153.00",1,1125,"t",2,2,0,"2020-02-27","2020-02-29",100,10,10,10,10,10,10,"f",1,1,0,0.17
"Beautiful spacious and sun filled second floor apartment in the heart of Westboro! Great for couples, small families or working professionals. Newly renovated with brand new furnishings. Pubic transport at your door. Only a five minute walk to two large shopping complexes. Walk to coffee shops, gyms, yoga, boutiques, restaurants, bars, LCBO, pharmacy's, banks and more. Enjoy all that trendy Westboro has to offer!<br /><br /><b>The space</b><br />The entire space is yours. This is not a shared space.<br /><br />Great location in central Ottawa! Located just off of the 417 Kirkwood exit. <br />5 minute walk to grocery stores, shopping, coffee and more!<br /><br />5-8 minute drive/Uber/cab ride to:<br />- Downtown Ottawa, Little Italy, Chinatown Central Experimental Farm<br /><br />*5 minute drive to Algonquin College<br />*15 minute drive to Kanata <br />*25 minute drive to Gatineau Park<br /><br />The Space includes:<br />Bedroom: One master bedroom with a queen bed and 32 inch TV. Lot'","Westboro features an impressive array of nearly 200 shops, restaurants and services, this vibrant urban village is just a quick 10-minute drive from the Parliament Buildings.<br /><br />Westboro is an area in the west end of Ottawa. Located along the Ottawa River, Island Park Drive defines Westboro's eastern border, while the Ottawa River defines its northern border. Under this definition, the population of the area is 22,725.","within an hour","100%","94%","t","Westboro",0,0,"t","f","Kitchissippi",NA,45.38858,-75.74201,"Entire apartment","Entire home/apt",4,NA,2,3,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Free street parking"", ""Keypad"", ""Iron"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Oven""]","$139.00",28,1125,"t",10,8,0,"2020-02-11","2021-01-01",98,10,10,9,10,10,10,"f",1,1,0,0.81
"Good sized room. Bathroom shared with 1 other room. Washer/dryer available. Near a plaza with many stores (Sobey's grocery store, Rexall pharmacy, Canada Post, McDonald's, Subway, Starbucks, 2 pizza places, shawarma place, Asian restaurant, LCBO, Dollarama, and more). Close to the 417 highway. Don't hesitate to message me if you have any questions.","","within a few hours","100%","43%","f","",1,1,"t","f","Kanata North",NA,45.36363,-75.93073,"Private room in house","Private room",1,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Free driveway parking on premises"", ""Microwave"", ""Conditioner"", ""Bed linens"", ""Extra pillows and blankets"", ""Free street parking"", ""Keypad"", ""Refrigerator"", ""Body soap"", ""Iron"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Toaster"", ""Essentials"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Rice maker"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$38.00",1,1125,"t",2,2,1,"2020-07-06","2021-01-18",100,10,10,10,10,10,10,"f",1,0,1,0.27
"","","within an hour","92%","99%","f","",4,4,"t","t","Orleans",NA,45.48873,-75.47689,"Entire condominium","Entire home/apt",5,NA,NA,3,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Oven"", ""Breakfast""]","$65.00",1,1125,"t",9,9,1,"2020-04-21","2021-01-19",84,8,9,10,9,10,8,"t",4,3,1,0.9
"A beautiful spacious room with big window in Orleans, Ottawa (Major Intersection: Tenth Line rd and Innes rd) with following features: <br /><br />- It is a townhouse, newly renovated.<br />- High speed wi fi internet <br />- Near Tenth Line rd and Innes rd intersection. <br />- Furnished with a queen bed, comfortable mattress and side table and work desk<br />- Bathroom outside the room and it is shared with one other person <br />- Plaza at walking distance with stores, restaurants and banks.<br /><br /><b>The space</b><br />There is another room in the house that is rented. That's the person who shares the bathroom.","","within a few hours","100%","94%","f","",0,0,"t","f","Cumberland",NA,45.46074,-75.48141,"Private room in townhouse","Private room",2,NA,1,NA,"[""Essentials"", ""Free street parking"", ""Hair dryer"", ""Wifi"", ""Patio or balcony"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Shampoo"", ""Long term stays allowed"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Dedicated workspace""]","$35.00",1,1125,"t",8,8,0,"2020-02-28","2020-11-06",95,10,10,10,10,10,10,"f",1,0,1,0.68
"Very nice retreat with WiFi, parking<br /><br /><b>Other things to note</b><br />Due to Covid19 we're waiting 5 days between 2 reservations and the appartment gets cleaned and disinfected before each guest check in.","It is a very nice and calm neighborhood. <br />People here are kind","within an hour","100%","97%","t","",0,0,"t","f","Orleans",NA,45.47595,-75.46897,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Refrigerator"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Cleaning before checkout"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$69.00",2,1125,"t",18,18,1,"2020-02-19","2021-01-31",98,10,10,10,10,9,10,"t",1,1,0,1.5
"Large luxury quiet furnished apartment in private wing of executive home in prestigious Rothwell Heights (near Blair & Montreal Rd), walking distance to CSIS, CSE, NRC; close to Blair LRT Station, Gloucester Mall, ScotiaBank/SilverCity Cinemas, Montfort Hospital. OC Transpo #23 at door, 24 & 12 nearby. Fully sound-proofed 2nd floor apartment, private outside entrance, digital keypad entry. Great opportunity for a discerning guest (single or couple only) looking for private luxury accommodation.<br /><br /><b>The space</b><br />Fully furnished with queen canopy bed, brand new mattress, linens, sectional sofa, SmartTV with NetFlix, etc., desk/work area, fully equipped eat-in kitchen, new appliances (stove, fridge, DW, micro, coffee maker, washer/dryer in unit). Large luxury bathroom with walk-in glass double shower and separate free-standing soaker tub. Gas fireplace, private balcony with beautiful view. Separate AC/heat controls in unit. Parking space included. Includes utilities and hi","Quiet neighbourhood, near major shopping areas, parks, tennis courts, close to Ottawa River bike/walking pathways, river access, walk to beach nearby, beautiful views.","within a day","100%","80%","f","",0,0,"t","f","Beacon Hill-Cyrville",NA,45.45285,-75.6068,"Entire guest suite","Entire home/apt",2,NA,1,1,"[""Hair dryer"", ""Wifi"", ""Garden or backyard"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Shampoo""]","$125.00",7,1125,"t",7,7,0,"2020-02-19","2020-11-30",89,9,9,9,9,9,9,"f",1,1,0,0.58
"Quiet, Nice, Clean place for your stay in good neighbourhood","","within an hour","90%","87%","f","",1,1,"t","f","Gloucester-South Nepean",NA,45.28504,-75.71513,"Private room in townhouse","Private room",1,NA,1,1,"[""Wifi"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm""]","$40.00",1,30,"t",11,11,1,"2020-02-15","2021-01-20",91,10,10,10,10,10,10,"f",2,0,2,0.9
"Amazing newly renovated 1 bedroom (with king bed) and large pullout couch, 1 bath unit that features hardwood throughout the whole unit with brand new appliances and open concept modern kitchen. This unit is located in the heart of Old Ottawa South. Steps away from coffee shops, stores, restaurants, Lansdowne Park and transit.  1 free parking available for unit.","","within an hour","100%","96%","f","Old Ottawa South",0,0,"t","t","Capital",NA,45.38894,-75.68594,"Entire townhouse","Entire home/apt",4,NA,1,2,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Conditioner"", ""Bed linens"", ""Extra pillows and blankets"", ""Refrigerator"", ""Body soap"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Lockbox"", ""Breakfast""]","$49.00",4,28,"t",14,14,0,"2020-03-01","2020-11-24",90,10,10,10,10,10,9,"f",1,1,0,1.2
"","","within a few hours","100%","92%","f","",2,2,"t","t","Kanata South",NA,45.27492,-75.84302,"Private room in house","Private room",1,NA,1,0,"[""Essentials"", ""Free street parking"", ""Hair dryer"", ""Wifi"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Carbon monoxide alarm""]","$55.00",1,1125,"t",2,2,0,"2020-09-16","2020-10-05",80,9,9,10,10,10,8,"f",2,0,2,0.4
"Private room with comfortable floor mattress FREE WiFi! Guests have shared access to a fully equipped kitchen on 1st floor, dining area, Separate full bathroom. Shared areas are clean and shared with a friendly host. Lots of FREE parking available on the street. Safe and quiet neighborhood.<br />Very close to Barrhaven Costco. All the amenities near by.<br /><br />Females preferred","","within an hour","100%","50%","f","",1,1,"t","t","Barrhaven",NA,45.27035,-75.7794,"Private room in townhouse","Private room",1,NA,1,NA,"[""Free street parking"", ""Washer"", ""Dryer"", ""Wifi"", ""Heating"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Dedicated workspace""]","$35.00",1,4,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",2,0,1,NA
"Spacious One Bedroom located in Sandy Hill.<br />Small balcony attached<br /><br />Amenities:<br />-Internet/Wifi<br />-Coin Laundry<br />-Fully Stocked Kitchen (Stovetop, Oven, Microwave, Pots & Pans, Spices)<br /><br />Walking Distance:<br />-Loblaws is a 9-minute walk<br />-Byward Market is an 15-minute walk<br />-24/7 Convenience store is a 2-minute walk<br />(2-minute walk to Buses 7, 12, 14, 19)<br /><br /><b>The space</b><br />Located in Sandy Hill, it is a 2 minute walk to the bus stop and 15 minute walk to Byward Market.","It’s in  a very quite neighberhoud .","a few days or more","44%","29%","f","Sandy Hill",0,0,"t","f","Rideau-Vanier",NA,45.43057,-75.67742,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Ethernet connection"", ""Bread maker"", ""Refrigerator"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Essentials"", ""Washer"", ""Dryer"", ""Bathtub"", ""Baking sheet"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$45.00",7,31,"t",2,2,0,"2020-02-20","2020-04-05",100,10,10,10,10,10,10,"f",1,1,0,0.17
"This is a very comfortable, cozy bungalow with 3 bedrooms and 2 full bathrooms, ideal for families, workers, students, and travellers.<br />Near grocery stores, restaurants, schools, parks, golf courses, and more!<br /><br /><b>The space</b><br />Upon entering the home, there is a small foyer, then go up a few steps to the main level where the living room, dining area, and kitchen with eat-in area are located. Down the hall on the same level are the 3 bedrooms and one of the full bathrooms.<br />In the basement is the 2nd full bathroom and the laundry machines.<br /><br /><b>Other things to note</b><br />The single-lane driveway can fit 2 cars parked back to back.","Family-friendly neighbourhood.<br />Closest intersection is Woodroffe and Fallowfield.<br />Near grocery stores, restaurants, schools, parks, golf courses, and more.","within an hour","100%","91%","f","Centretown West",17,17,"t","t","Barrhaven",NA,45.29571,-75.73206,"Entire bungalow","Entire home/apt",6,NA,3,3,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Bathtub"", ""Baking sheet"", ""Air conditioning"", ""Kitchen"", ""Cleaning before checkout"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$113.00",2,1125,"t",2,2,0,"2020-02-17","2020-03-26",100,10,10,10,10,10,10,"f",9,9,0,0.17
"","","within a day","50%","N/A","f","",2,2,"t","f","Rideau-Vanier",NA,45.43253,-75.66649,"Private room in house","Private room",2,NA,1,1,"[""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Kitchen"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Long term stays allowed"", ""Hot water"", ""Smoke alarm"", ""Air conditioning"", ""Lock on bedroom door""]","$45.00",7,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",3,0,3,NA
"Large 3 bedroom single family house<br /><br /><b>The space</b><br />Beautiful and comfy  queen size bed in a very  large master bedroom with a walk in closet and a private full bathroom. Tv including Netflix , also very high speed  internet.<br />The master bedroom have no lock.<br /><br /><b>Guest access</b><br />kitchen only<br /><br /><b>Other things to note</b><br />Gust Not allowed to have friends or family members inside my place for visit, only who have reservation.","Bus stop 2 minutes","within an hour","100%","100%","f","",0,0,"t","t","Kanata North",NA,45.3581,-75.92785,"Private room in house","Private room",2,NA,1,1,"[""Window guards"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Shower gel"", ""Garden or backyard"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Bathtub"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Lockbox"", ""Stove"", ""Oven"", ""Dishwasher""]","$55.00",2,1125,"t",17,17,1,"2020-03-08","2021-01-18",93,9,9,10,10,10,10,"t",3,0,3,1.49
"5mn walk to uOttawa and down town<br /><br /><b>The space</b><br />other roommate is chines girl student a uOttawa who will be out of town for the summer time,","","N/A","N/A","100%","f","Sandy Hill",2,2,"t","t","Rideau-Vanier",NA,45.42377,-75.67488,"Private room in apartment","Private room",1,NA,2,0,"[""Essentials"", ""Washer"", ""Wifi"", ""Private entrance"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen""]","$25.00",30,120,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",1,0,1,NA
"Welcome to the Golden Triangle!  This century home has high ceilings, original wood floors and  a great sunny summer balcony!<br />OUR PLACE IS NOT SUITABLE FOR 14 DAY QUARANTINE !!<br />Five minute walk to the light rail transit station, and two minute walk to restaurants and shops on Elgin st.  Close to parliament, Rideau centre and museums.<br />There is a large breed dog who lives in this apartment with her humans.  She is very friendly, but mostly keeps to herself.<br /><br /><b>The space</b><br />This is  a very quiet space.  If you are looking for a calm, restful place:  this is it!<br /><br /><b>Guest access</b><br />In addition to their private bedroom, guests have access to the shared bath, kitchen and dining room.  Living/sitting room (salon) is PRIVATE please!<br /><br /><b>Other things to note</b><br />Our building has no elevator, so you will have to walk (and carry your luggage) up a flight of stairs. <br />NO parking - only on street (monitored) or city lot (pay) availa","This is a very quiet residential neighborhood in downtown Ottawa. Close to lots of shops and restaurants. 5 minute walk to Uof Ottawa and the light rail system.","within an hour","100%","60%","f","",3,3,"t","f","Somerset",NA,45.41797,-75.6842,"Private room in apartment","Private room",1,NA,1,1,"[""Essentials"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Kitchen"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Dishes and silverware"", ""Smoke alarm"", ""Air conditioning"", ""Fire extinguisher"", ""Carbon monoxide alarm""]","$42.00",2,1125,"t",2,2,0,"2020-04-13","2020-12-19",100,9,10,10,10,10,9,"f",1,0,1,0.2
"Newly renovated, clean, spacious & modern “home away from home” for the busy health professional. Flooded with natural light. Furniture & decor happening as we speak. Living area will include workspace & tv.  Self-contained unit with private entrance, off-street parking & laundry room. Full kitchen with dishwasher & microwave. Black out curtains in bedroom for shift workers. Home shared with quiet couple & their senior dog. Privacy assured. Long term stay includes cleaning services every 2 weeks<br /><br /><b>The space</b><br />My past guests have enjoyed the privacy this unit offers while being nestled in a welcoming community. It’s proximity to area hospitals is ideal for health professionals. Grocery stores, café, restaurants, parks & even old school video store all in walking distance. The unit is cozier than ever now that it has been fully renovated. After long shifts, you will be happy to return “home” to rest or freshen up before heading out to explore Ottawa.<br /><br /><b>Gues","Welcoming community with many amenities in walking and/or cycling distance. Public transit is an option and Uber/Lyft are very efficient in this area. Smaller shopping complexes are within walking distance. Whereas the larger St Laurent Shopping Centre or Trainyard outlets are a short drive away.","within a day","100%","50%","f","Urbandale",1,1,"t","t","Alta Vista",NA,45.39191,-75.62613,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Hair dryer"", ""Wifi"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Shampoo""]","$100.00",7,1125,"t",1,1,0,"2020-10-23","2020-10-23",100,10,10,10,10,10,10,"f",1,1,0,0.26
"Private room in cozy plant-loving, newly-renovated house with brand new appliances. 10-15 minute drive to Lansdowne Park and Byward Market. 25 minute walk to TOH and CHEO. Also close to the airport and VIA train station<br /><br /><b>The space</b><br />Sharing space with two male professionals with heavy workloads causing them to be out of the house for long periods during the day.","Quiet neighbourhood consisting of families and professinoals. 5 minute walk to a plaza with Loblaw's, LCBO, Beer Store, Pizza Pizza, Starbucks.","N/A","N/A","100%","f","Urbandale",0,0,"t","t","Alta Vista",NA,45.39467,-75.62888,"Private room in house","Private room",2,NA,1,1,"[""Essentials"", ""TV"", ""Washer"", ""Dryer"", ""Wifi"", ""Kitchen"", ""Heating"", ""Free parking on premises"", ""Long term stays allowed"", ""Shampoo"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Lock on bedroom door"", ""Carbon monoxide alarm""]","$31.00",2,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",1,0,1,NA
"This is a comfortable, bright, clean, quiet and large room on a newly renovated apartment located 10 minutes from downtown Ottawa and closes to Carlton University. It is between major intersection, bus routes. This is the room with a shared bathroom with one tenant.  Walking distance to restaurants, shops.<br />Full kitchen with<br />•  fridge<br />• Microwave<br />• Electric kettle<br />• Include hydro, heat, water, Wi-Fi, AC.<br />* No pet, no smoking, no drug, no party!<br /><br /><b>The space</b><br />This Room is completely renovated and ready for guests. We easily accommodate last minute requests.  <br /><br />The apartment is tastefully decorated and stocked with thoughtful comforts to ensure you have a wonderful experience. Space is equipped with clean bedding, fresh towels, bathroom supplies & toiletries, fully equipped kitchen,  office area and more. <br /><br />We also provide our guests with a comprehensive welcome book that will provide you with details about your unit and","","N/A","N/A","50%","f","",0,0,"t","t","Gloucester-Southgate",NA,45.3502,-75.64412,"Private room in condominium","Private room",1,NA,1,0,"[""Gym"", ""Essentials"", ""Washer"", ""Dryer"", ""Fire extinguisher"", ""Wifi"", ""Kitchen"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Shampoo"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Dedicated workspace""]","$39.00",1,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",1,0,1,NA
"Beautifully decorated large bedroom: Comfortable bed with fresh, crisp linens; extra blankets; 2 to 4 pillows; squeaky clean; air conditioning; toiletries - shampoo/body wash/ conditioner and lotion; private use of large and stylish bathroom next door; plenty of closet space and drawers; workspace and/or dining nook, fridge and coffee maker and kettle. Feel at home with all the conveniences in luxury. Coffee, tea and biscuits available 8-10am. Shared kitchen, tv room and powder room.<br /><br /><b>The space</b><br />Lovely, comfortable and well-appointed room with all you need for your home away from home. Beautiful and comfortable European queen bed with comfy pillows and crisp linens and soft duvet/blankets. This room offers plenty of storage and a huge closet for those needing space for longer stays. A cleverly tucked away workspace/table with chair should you require a desk or just wish to dine in your room. A fridge, coffee maker and kettle are included for convenience. One of the","Ideally situated in the city but not in the middle of the hustle and bustle (and construction -this is Ottawa!) of the downtown core. This is a great escape to tranquility without going out to the burbs. There are tons of shopping, grocery, restaurants, and gyms (lots of those) in close proximity. Nature awaits with plenty of parks , bike trails and of course, Mooney’s Bay and Hogs Back Falls. Easy access to the Ottawa International airport!  For guests without a car, no need to worry, we have well connected bus routes close by. Guests can also park on the street in our peaceful and sought after community.","within an hour","100%","100%","t","",1,1,"t","t","Knoxdale-Merivale",NA,45.35235,-75.71541,"Private room in house","Private room",2,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Essentials"", ""Paid parking on premises"", ""Host greets you"", ""Washer"", ""Dryer"", ""Patio or balcony"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Luggage dropoff allowed""]","$38.00",1,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",1,0,1,NA
"Private and cozy room in a 4 bedroom house, about 10-12 min bus ride to downtown & University of Ottawa, and 15 min walking distance to Carleton university. Free parking is included. Your room is furnished as shown on the images.  The TV is a 32 inches flat screen with Netflix and Amazon Prime already included. Not new in AirBNB, more reviews available on other listings (see co-lister's ad).<br /><br /><b>Guest access</b><br />Guest will have exclusive and private use of the bedroom, and will share the common areas with other housemates. Common areas are: living room, kitchen, two full washrooms, laundry room and backyard with BBQ (open during the summer).<br /><br /><b>Other things to note</b><br />Please have a COMPLETE profile prior submitting your booking request.","","N/A","N/A","50%","f","",1,1,"t","t","River",NA,45.38659,-75.72656,"Private room in house","Private room",1,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Cable TV"", ""Wifi"", ""Microwave"", ""Bed linens"", ""BBQ grill"", ""Extra pillows and blankets"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Patio or balcony"", ""Baking sheet"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Dishes and silverware"", ""Barbecue utensils"", ""Stove"", ""Oven""]","$30.00",28,1125,"t",1,1,0,"2020-02-25","2020-02-25",100,10,10,10,10,10,10,"f",1,0,1,0.08
"","","N/A","N/A","N/A","f","",1,1,"t","f","Kanata South",NA,45.29055,-75.88902,"Private room in bungalow","Private room",1,NA,1,NA,"[""Essentials"", ""TV"", ""Wifi"", ""Breakfast"", ""Kitchen"", ""Heating"", ""Free parking on premises"", ""Long term stays allowed"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Fire extinguisher"", ""Carbon monoxide alarm""]","$100.00",1,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",1,0,1,NA
